#DATE                  obsn   az      el     freq_MHz      Tsys        Tant        vlsr     glat        glon        azoff      eloff      source  Fstart       fstop        spacing      bw        fbw       nfreq   nsam        npoint  integ  sigma     bsw   
 2017:096:20:07:36     52     223     60     1420.4000     171.000     241.556     4.65     -56.015     128.304     0.00       6.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     59     0.230     0     
 2017:096:20:07:46     53     223     61     1420.4000     171.000     235.451     4.65     -56.015     128.305     0.00       7.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     60     0.228     0     
 2017:096:20:07:55     54     223     62     1420.4000     171.000     219.415     4.65     -56.015     128.305     0.00       8.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     61     0.226     0     
 2017:096:20:08:05     55     223     63     1420.4000     171.000     208.618     4.65     -56.015     128.305     0.00       9.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     62     0.224     0     
 2017:096:20:08:14     56     223     64     1420.4000     171.000     205.498     4.65     -56.015     128.305     0.00       10.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     63     0.222     0     
 2017:096:20:08:23     57     223     65     1420.4000     171.000     207.284     4.65     -56.015     128.305     0.00       11.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     64     0.220     0     
 2017:096:20:08:33     58     224     66     1420.4000     171.000     211.977     4.65     -56.015     128.305     0.00       12.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     66     0.218     0     
 2017:096:20:08:42     59     224     67     1420.4000     171.000     205.490     4.65     -56.015     128.306     0.00       13.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     67     0.216     0     
 2017:096:20:08:51     60     224     68     1420.4000     171.000     207.432     4.65     -56.015     128.306     0.00       14.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     68     0.215     0     
 2017:096:20:09:01     61     224     69     1420.4000     171.000     213.737     4.65     -56.015     128.306     0.00       15.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     69     0.213     0     
 2017:096:20:09:10     62     224     70     1420.4000     171.000     208.372     4.65     -56.014     128.306     0.00       16.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     70     0.211     0     
 2017:096:20:09:19     63     224     71     1420.4000     171.000     210.152     4.65     -56.014     128.306     0.00       17.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     71     0.210     0     
 2017:096:20:09:29     64     224     72     1420.4000     171.000     211.068     4.65     -56.014     128.306     0.00       18.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     72     0.208     0     
 2017:096:20:09:38     65     224     73     1420.4000     171.000     214.050     4.65     -56.014     128.307     0.00       19.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     73     0.206     0     
 2017:096:20:09:47     66     224     74     1420.4000     171.000     214.185     4.65     -56.014     128.307     0.00       20.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     74     0.205     0     
 2017:096:20:10:09     67     224     53     1420.4000     171.000     214.185     4.65     -56.014     128.307     0.00       -1.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     75     0.203     0     
 2017:096:20:10:10     68     224     53     1420.4000     171.000     823.990     4.65     -56.014     128.307     0.00       -1.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     76     0.202     0     
 2017:096:20:10:19     69     224     52     1420.4000     171.000     645.201     4.65     -56.014     128.307     0.00       -2.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     78     0.201     0     
 2017:096:20:10:29     70     224     51     1420.4000     171.000     441.077     4.65     -56.014     128.308     0.00       -3.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     79     0.199     0     
 2017:096:20:10:38     71     224     50     1420.4000     171.000     303.650     4.65     -56.014     128.308     0.00       -4.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     80     0.198     0     
 2017:096:20:10:47     72     224     49     1420.4000     171.000     257.076     4.65     -56.014     128.308     0.00       -5.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     81     0.196     0     
 2017:096:20:10:57     73     224     48     1420.4000     171.000     237.023     4.65     -56.014     128.308     0.00       -6.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     82     0.195     0     
 2017:096:20:11:06     74     224     47     1420.4000     171.000     230.190     4.65     -56.014     128.308     0.00       -7.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     83     0.194     0     
 2017:096:20:11:15     75     224     46     1420.4000     171.000     223.696     4.65     -56.014     128.308     0.00       -8.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     84     0.193     0     
 2017:096:20:11:25     76     225     45     1420.4000     171.000     208.951     4.65     -56.014     128.309     0.00       -9.00      Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     85     0.191     0     
 2017:096:20:11:34     77     225     44     1420.4000     171.000     206.131     4.65     -56.014     128.309     0.00       -10.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     86     0.190     0     
 2017:096:20:11:44     78     225     43     1420.4000     171.000     206.184     4.65     -56.014     128.309     0.00       -11.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     87     0.189     0     
 2017:096:20:11:53     79     225     41     1420.4000     171.000     202.956     4.65     -56.014     128.309     0.00       -12.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     88     0.188     0     
 2017:096:20:12:02     80     225     40     1420.4000     171.000     202.946     4.65     -56.014     128.309     0.00       -13.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     90     0.187     0     
 2017:096:20:12:12     81     225     39     1420.4000     171.000     202.973     4.65     -56.014     128.309     0.00       -14.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     91     0.185     0     
 2017:096:20:12:21     82     225     38     1420.4000     171.000     202.236     4.65     -56.013     128.310     0.00       -15.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     92     0.184     0     
 2017:096:20:12:30     83     225     37     1420.4000     171.000     205.542     4.65     -56.013     128.310     0.00       -16.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     93     0.183     0     
 2017:096:20:12:40     84     225     36     1420.4000     171.000     202.170     4.65     -56.013     128.310     0.00       -17.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     94     0.182     0     
 2017:096:20:12:49     85     225     35     1420.4000     171.000     201.312     4.65     -56.013     128.310     0.00       -18.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     95     0.181     0     
 2017:096:20:12:58     86     225     34     1420.4000     171.000     202.366     4.65     -56.013     128.310     0.00       -19.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     96     0.180     0     
 2017:096:20:13:08     87     225     33     1420.4000     171.000     201.085     4.65     -56.013     128.310     0.00       -20.00     Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     97     0.179     0     
