#lon vel Tant_corr
0.0 88.8455166823 -0.19316642648959714
0.0 90.8260431995 -0.18823963169816693
0.0 92.8065958652 0.06373716525149575
0.0 94.7871746798 0.16874943053366565
0.0 96.7677796439 0.43678230985665323
0.0 98.7484107579 -0.22317937158291556
0.0 100.729068023 0.4108488908667596
0.0 102.709751438 0.527851281241027
0.0 104.690461005 -0.0981883370311607
0.0 106.671196725 0.17771357878990557
0.0 108.651958596 -0.4574597493040642
0.0 110.632746621 0.544274579960188
0.0 112.6135608 0.0
0.0 114.594401132 0.0
0.0 116.57526762 0.0
0.0 118.556160262 0.0
0.0 120.53707906 0.013940171542856206
0.0 122.518024015 -0.019256596897150757
0.0 124.498995126 0.37732561583609936
0.0 126.479992394 -0.5823328566316093
0.0 128.46101582 0.9357479981812276
0.0 130.442065405 0.7525478715696465
0.0 132.423141148 0.28504613358424535
0.0 134.404243051 0.3782218330284195
0.0 136.385371113 0.27905369736919283
0.0 138.366525336 -0.051479867259217826
0.0 140.347705719 0.48259922385742016
0.0 142.328912264 0.0
0.0 144.310144971 0.09550610501142387
0.0 146.29140384 -0.05571154287810032
0.0 148.272688873 0.5655925890659148
0.0 150.254000068 -0.3236050220709501
0.0 152.235337428 -0.29032822082476173
0.0 154.216700952 -0.6536011734494593
0.0 156.198090641 -0.2454483679240127
0.0 158.179506496 -0.7228946140067762
0.0 160.160948517 -0.38396504328255787
0.0 162.142416704 -0.23968510919897312
0.0 164.123911059 -0.21308058710189925
0.0 166.105431581 -0.19717757429742733
0.0 168.086978271 -0.579002490074572
0.0 170.06855113 0.16641792424380242
0.0 172.050150158 -0.02994339474363983
0.0 174.031775355 0.0
0.0 176.013426723 -0.29912109686716803
0.0 177.995104262 0.06500678243884295
0.0 179.976807972 0.0032414532357165626
0.0 181.958537853 -0.695445758890088
0.0 183.940293907 -0.639083850682141
0.0 185.922076134 -0.33770214125735265
0.0 187.903884534 -0.11833027214643721
0.0 189.885719108 -0.5319982073384324
0.0 191.867579856 -0.3607362333204662
0.0 193.849466779 0.5834250408759374
0.0 195.831379877 0.02845468363756254
0.0 197.813319151 -0.4716785592791837
0.0 199.795284602 -0.28600626478851154
0.0 201.77727623 0.7084396674878803
0.0 203.759294035 0.3406270151750448
0.0 205.741338018 0.15752323309570215
0.0 207.72340818 0.16309545323176167
0.0 209.70550452 0.701310484698837
0.0 211.68762704 0.49113481366529754
0.0 213.669775741 0.7535346033382666
0.0 215.651950622 0.4094756939352351
0.0 217.634151683 0.12092360261507906
0.0 219.616378927 0.48284352340806436
0.0 221.598632352 -0.05179967273585362
0.0 223.580911961 -0.1300414381062467
0.0 225.563217752 0.14408245184998236
0.0 227.545549727 0.22253589836864762
0.0 229.527907886 0.3422824794062649
0.0 231.51029223 0.18428544955472148
0.0 233.49270276 0.33350774001249306
0.0 235.475139475 0.7149119585796768
0.0 237.457602376 0.12246038954543792
0.0 239.440091464 0.1251149936778404
0.0 241.42260674 0.2848374081811187
0.0 243.405148203 -0.44841105330124265
0.0 245.387715854 0.06633059918564754
0.0 247.370309695 -0.700976968119619
0.0 249.352929725 -0.8183734126390334
0.0 251.335575945 -0.24989871561683685
0.0 253.318248355 -0.6285931820884798
10.0 -166.880470447 0.5477038768756302
10.0 -166.140470447 0.16476778515698243
10.0 -164.903338822 -2.06060986286559
10.0 -164.163338822 0.4679542501354206
10.0 -162.926181116 -0.02204692347916648
10.0 -162.186181116 0.006410352910194206
10.0 -160.948997329 -0.15441813337332633
10.0 -160.208997329 -0.8618208613046079
10.0 -158.971787459 -1.1275360797542646
10.0 -158.231787459 -0.2956967595921185
10.0 -156.994551506 -0.7262151090969837
10.0 -156.254551506 -0.5221751214310473
10.0 -155.017289471 0.25372867270601773
10.0 -154.277289471 -0.12021413873435449
10.0 -153.040001351 0.11347740034216258
10.0 -152.300001351 0.7592275841371929
10.0 -151.062687147 -0.3697885515383348
10.0 -150.322687147 0.9021910302517426
10.0 -149.085346858 0.43910943172880934
10.0 -148.345346858 0.11371677010231451
10.0 -147.107980484 1.853348204457177
10.0 -146.367980484 -0.15415503847077616
10.0 -145.130588024 0.5681028604515745
10.0 -144.390588024 -0.11238465032204203
10.0 -143.153169477 2.3625467327322554
10.0 -142.413169477 -0.09293273306275296
10.0 -141.175724844 0.19185139325679756
10.0 -140.435724844 0.24323963287787365
10.0 -139.198254123 -1.164813347183724
10.0 -138.458254123 0.09317095421778276
10.0 -137.220757314 -0.6382794393275049
10.0 -136.480757314 0.038899324747603714
10.0 -135.243234417 0.2096194043822095
10.0 -134.503234417 -0.3315375747148721
10.0 -133.265685431 0.7630477095752326
10.0 -132.525685431 0.45289752362140234
10.0 -131.288110355 0.6311682396982121
10.0 -130.548110355 -0.5707585255369736
10.0 -129.310509189 2.0381419957757885
10.0 -128.570509189 0.08353071937736445
10.0 -127.332881933 -0.029871783806441954
10.0 -126.592881933 -0.19219871325989857
10.0 -125.355228585 -1.2627156235328698
10.0 -124.615228585 0.3090887916780787
10.0 -123.377549147 -0.9762338110092514
10.0 -122.637549147 0.08342843601940331
10.0 -121.399843616 0.2617276028212814
10.0 -120.659843616 -0.1001449917704349
10.0 -119.422111992 -0.04667919656881736
10.0 -118.682111992 0.34540288336526714
10.0 -117.444354276 -0.9103037875062796
10.0 -116.704354276 -0.2008939769793585
10.0 -115.466570465 0.05800248761175908
10.0 -114.726570465 -0.022002024742050708
10.0 -113.488760561 0.3963865221466847
10.0 -112.748760561 0.31111187457798906
10.0 -111.510924562 0.6459934449142963
10.0 -110.770924562 -0.1375195581615003
10.0 -109.533062468 -0.6420333799963771
10.0 -108.793062468 0.1621359842184802
10.0 -107.555174278 0.2244476465112939
10.0 -106.815174278 0.2061103951527059
10.0 -105.577259991 1.058576358317822
10.0 -104.837259991 0.002435154280419738
10.0 -103.599319609 -0.4815091760856376
10.0 -102.859319609 -0.30585867259327415
10.0 -101.621353129 -0.01967265398027962
10.0 -100.881353129 -0.41474043359298207
10.0 -99.6433605507 -0.41777953851433836
10.0 -98.9033605507 -0.08417989078952814
10.0 -97.6653418746 0.25130294103757933
10.0 -96.9253418746 0.09085277973764505
10.0 -95.6872970997 -2.08929421101368
10.0 -94.9472970997 -0.22061301216837137
10.0 -93.7092262255 0.17955824303859913
10.0 -92.9692262255 0.007451729214778879
10.0 -91.7311292514 0.20298777404951807
10.0 -90.9911292514 -0.46592441456962774
10.0 -89.7530061771 -0.35087991420019193
10.0 -89.0130061771 -0.21671327620936154
10.0 -87.7748570018 1.425079114739475
10.0 -87.0348570018 -0.14488710268369687
10.0 -85.7966817252 0.5149870297826737
10.0 -85.0566817252 -0.2844185553111913
10.0 -83.8184803468 0.4499642320536168
10.0 -83.0784803468 -0.37928070980933626
10.0 -81.8402528658 -0.47487064535147283
10.0 -81.1002528658 -0.2894470563504683
10.0 -79.861999282 0.29459926243086443
10.0 -79.121999282 0.5211085003904259
10.0 -77.8837195948 -1.2355109482347189
10.0 -77.1437195948 0.20041164117324684
10.0 -75.9054138036 0.2049120502960875
10.0 -75.1654138036 0.10048763214086875
10.0 -73.9270819079 -0.8160201832829728
10.0 -73.1870819079 0.1213613247651324
10.0 -71.9487239072 -0.53219785946618
10.0 -71.2087239072 0.5860571557913943
10.0 -69.970339801 -0.18851295816972424
10.0 -69.230339801 -0.3014008528166414
10.0 -67.9919295888 -0.43585922896596685
10.0 -67.2519295888 0.1790109060684415
10.0 -66.0134932701 -0.05113219131737878
10.0 -65.2734932701 0.1753156246829235
10.0 -64.0350308443 -1.145229134814656
10.0 -63.2950308443 0.5065360803160104
10.0 -62.056542311 1.6889508806008564
10.0 -61.316542311 0.3796946352576924
10.0 -60.0780276695 -0.4194929756165209
10.0 -59.3380276695 0.7228132367395972
10.0 -58.0994869195 -0.31346330482361395
10.0 -57.3594869195 0.10091341688593047
10.0 -56.1209200603 -0.42686447945388295
10.0 -55.3809200603 0.5110162926519308
10.0 -54.1423270915 0.014397356775845083
10.0 -53.4023270915 0.8131425657747968
10.0 -52.1637080125 0.41041428861137774
10.0 -51.4237080125 1.275312522714671
10.0 -50.1850628228 1.0292766290386623
10.0 -49.4450628228 1.2805460346020539
10.0 -48.206391522 7.687072919049825
10.0 -47.466391522 1.6728625571832083
10.0 -46.2276941095 5.146889927396501
10.0 -45.4876941095 1.8932811307623467
10.0 -44.2489705847 4.0798126503637775
10.0 -43.5089705847 2.5488203801487543
10.0 -42.2702209472 6.70592431154364
10.0 -41.5302209472 3.2994985146031297
10.0 -40.2914451964 8.007306361584654
10.0 -39.5514451964 4.047333327779683
10.0 -38.3126433319 11.45003847797355
10.0 -37.5726433319 5.418342197674349
10.0 -36.3338153531 14.252198564784806
10.0 -35.5938153531 6.982542086566468
10.0 -34.3549612595 16.036862752458205
10.0 -33.6149612595 8.172949540966385
